,Name,Replacement,Frequency
165,Abousaleh,proper_name_surname,0.0
166,Aboytes,proper_name_surname,0.0
167,Abplanalp,proper_name_surname,0.0
168,Abrachinsky,proper_name_surname,0.0
169,Abraham,proper_name_male,0.035
170,Abrahamian,proper_name_surname,0.0
171,Abrahams,proper_name_surname,0.001
172,Abrahamsen,proper_name_surname,0.0
173,Abrahamson,proper_name_surname,0.001
174,Abram,proper_name_male,0.005
175,Abramek,proper_name_surname,0.0
176,Abramian,proper_name_surname,0.0
177,Abramoff,proper_name_surname,0.0
178,Abramov,proper_name_surname,0.0
179,Abramovich,proper_name_surname,0.0
180,Abramovitz,proper_name_surname,0.0
181,Abramowitz,proper_name_surname,0.001
182,Abramowski,proper_name_surname,0.0
183,Abrams,proper_name_surname,0.009
184,Abramson,proper_name_surname,0.002
185,Abrantes,proper_name_surname,0.0
186,Abreau,proper_name_surname,0.0
187,Abrecht,proper_name_surname,0.0
188,Abrego,proper_name_surname,0.002
189,Abrell,proper_name_surname,0.0
190,Abreo,proper_name_surname,0.0
191,Abreu,proper_name_surname,0.004
192,Abrev,proper_name_surname,0.0
193,Abrew,proper_name_surname,0.0
194,Abrey,proper_name_surname,0.0
195,Abrial,proper_name_surname,0.0
196,Abril,proper_name_surname,0.001
197,Abriola,proper_name_surname,0.0
198,Abrom,proper_name_surname,0.0
199,Abron,proper_name_surname,0.001
200,Abruzzese,proper_name_surname,0.0
201,Abruzzino,proper_name_surname,0.0
202,Abruzzo,proper_name_surname,0.0
203,Absalon,proper_name_surname,0.0
204,Abshear,proper_name_surname,0.0
205,Absher,proper_name_surname,0.001
206,Abshier,proper_name_surname,0.0
207,Abshire,proper_name_surname,0.001
208,Abson,proper_name_surname,0.0
209,Abston,proper_name_surname,0.001
210,Abt,proper_name_surname,0.0
211,Abts,proper_name_surname,0.0
212,Abu,proper_name_surname,0.0
213,Abuaita,proper_name_surname,0.0
214,Abubakr,proper_name_surname,0.0
215,Abud,proper_name_surname,0.0
216,Abuel,proper_name_surname,0.0
217,Abugn,proper_name_surname,0.0
218,Abuhl,proper_name_surname,0.0
219,Abundis,proper_name_surname,0.0
220,Abundiz,proper_name_surname,0.0
221,Aburto,proper_name_surname,0.0
222,Abusufait,proper_name_surname,0.0
223,Acal,proper_name_surname,0.0
224,Acampora,proper_name_surname,0.0
225,Accala,proper_name_surname,0.0
226,Accardi,proper_name_surname,0.0
227,Accardo,proper_name_surname,0.0
228,Accetta,proper_name_surname,0.0
229,Accetturo,proper_name_surname,0.0
230,Accola,proper_name_surname,0.0
231,Accomando,proper_name_surname,0.0
232,Accornero,proper_name_surname,0.0
233,Accosta,proper_name_surname,0.0
234,Accurso,proper_name_surname,0.0
235,Ace,proper_name_surname,0.0
236,Acebedo,proper_name_surname,0.0
237,Acebo,proper_name_surname,0.0
238,Acedo,proper_name_surname,0.0
239,Acee,proper_name_surname,0.0
240,Aceituno,proper_name_surname,0.0
241,Acencio,proper_name_surname,0.0
242,Aceret,proper_name_surname,0.0
243,Acerno,proper_name_surname,0.0
244,Acero,proper_name_surname,0.0
245,Acerra,proper_name_surname,0.0
246,Aceto,proper_name_surname,0.0
247,Aceuedo,proper_name_surname,0.0
248,Acevado,proper_name_surname,0.0
249,Aceveda,proper_name_surname,0.0
250,Acevedo,proper_name_surname,0.013
251,Aceves,proper_name_surname,0.001
252,Acey,proper_name_surname,0.0
253,Acfalle,proper_name_surname,0.0
254,Achane,proper_name_surname,0.0
255,Ache,proper_name_surname,0.0
256,Acheampong,proper_name_surname,0.0
257,Achee,proper_name_surname,0.0
258,Achekian,proper_name_surname,0.0
259,Achenbach,proper_name_surname,0.001
260,Acheson,proper_name_surname,0.001
261,Achille,proper_name_surname,0.0
262,Achilles,proper_name_surname,0.0
263,Achin,proper_name_surname,0.0
264,Achor,proper_name_surname,0.0
265,Achord,proper_name_surname,0.0
266,Achorn,proper_name_surname,0.0
267,Achter,proper_name_surname,0.0
268,Achterhof,proper_name_surname,0.0
269,Achzet,proper_name_surname,0.0
270,Achziger,proper_name_surname,0.0
271,Acierno,proper_name_surname,0.0
272,Acimovic,proper_name_surname,0.0
273,Ack,proper_name_surname,0.0
274,Ackah,proper_name_surname,0.0
275,Acken,proper_name_surname,0.0
276,Acker,proper_name_surname,0.005
277,Ackerley,proper_name_surname,0.0
278,Ackerly,proper_name_surname,0.0
279,Ackerman,proper_name_surname,0.009
280,Ackermann,proper_name_surname,0.001
281,Ackers,proper_name_surname,0.0
282,Ackerson,proper_name_surname,0.001
283,Ackert,proper_name_surname,0.0
284,Ackies,proper_name_surname,0.0
285,Ackins,proper_name_surname,0.0
286,Ackison,proper_name_surname,0.0
287,Ackiss,proper_name_surname,0.0
288,Ackland,proper_name_surname,0.0
289,Acklen,proper_name_surname,0.0
290,Ackles,proper_name_surname,0.001
291,Ackley,proper_name_surname,0.003
292,Acklin,proper_name_surname,0.001
293,Ackman,proper_name_surname,0.001
294,Ackmann,proper_name_surname,0.0
295,Ackroyd,proper_name_surname,0.0
296,Acly,proper_name_surname,0.0
297,Acoba,proper_name_surname,0.0
298,Acocella,proper_name_surname,0.0
299,Acock,proper_name_surname,0.0
300,Acoff,proper_name_surname,0.0
301,Acor,proper_name_surname,0.0
302,Acord,proper_name_surname,0.001
303,Acorda,proper_name_surname,0.0
304,Acors,proper_name_surname,0.0
305,Acosta,proper_name_surname,0.022
306,Acosto,proper_name_surname,0.0
307,Acothley,proper_name_surname,0.0
308,Acquaviva,proper_name_surname,0.0
309,Acquilla,proper_name_surname,0.0
310,Acre,proper_name_surname,0.0
311,Acree,proper_name_surname,0.002
312,Acres,proper_name_surname,0.001
313,Acrey,proper_name_surname,0.0
314,Acri,proper_name_surname,0.0
315,Acron,proper_name_surname,0.0
316,Actis,proper_name_surname,0.0
317,Acton,proper_name_surname,0.002
318,Acuff,proper_name_surname,0.001
319,Acuna,proper_name_surname,0.004
320,Acy,proper_name_surname,0.0
321,Ada,proper_name_male,0.057
322,Adachi,proper_name_surname,0.0
323,Adah,proper_name_male,0.001
324,Adair,proper_name_surname,0.007
325,Adalberto,proper_name_male,0.005
326,Adaline,proper_name_male,0.002
327,Adalja,proper_name_surname,0.0
328,Adam,proper_name_male,0.259
329,Adamaitis,proper_name_surname,0.0
330,Adamcik,proper_name_surname,0.0
331,Adamczak,proper_name_surname,0.0
332,Adamczyk,proper_name_surname,0.001
333,Adame,proper_name_surname,0.004
334,Adamec,proper_name_surname,0.0
335,Adamek,proper_name_surname,0.001
336,Adames,proper_name_surname,0.002
337,Adami,proper_name_surname,0.0
338,Adamiak,proper_name_surname,0.0
339,Adamik,proper_name_surname,0.0
340,Adamis,proper_name_surname,0.0
341,Adamitis,proper_name_surname,0.0
342,Adamo,proper_name_surname,0.001
343,Adamos,proper_name_surname,0.0
344,Adamowski,proper_name_surname,0.0
345,Adams,proper_name_surname,0.174
346,Adamsen,proper_name_surname,0.0
347,Adamski,proper_name_surname,0.001
348,Adamsky,proper_name_surname,0.0
349,Adamson,proper_name_surname,0.005
350,Adamsonis,proper_name_surname,0.0
351,Adamyan,proper_name_surname,0.0
352,Adan,proper_name_male,0.008
353,Adank,proper_name_surname,0.0
354,Adas,proper_name_surname,0.0
355,Adauto,proper_name_surname,0.0
356,Adaway,proper_name_surname,0.0
357,Aday,proper_name_surname,0.0
358,Adcock,proper_name_surname,0.005
359,Adcox,proper_name_surname,0.001
360,Addair,proper_name_surname,0.0
361,Addams,proper_name_surname,0.0
362,Addario,proper_name_surname,0.0
363,Addeo,proper_name_surname,0.0
364,Adderley,proper_name_surname,0.0
365,Adderly,proper_name_surname,0.0
366,Addesso,proper_name_surname,0.0
367,Addicks,proper_name_surname,0.0
368,Addie,proper_name_male,0.026
369,Addiego,proper_name_surname,0.0
370,Addington,proper_name_surname,0.002
